network_SNR chirp_mass mass_ratio luminosity_distance dec ra theta_jn psi phase geocent_time a_1 a_2 err_chirp_mass err_mass_ratio err_luminosity_distance err_dec err_ra err_theta_jn err_psi err_phase err_geocent_time err_a_1 err_a_2 err_sky_location
189.66942416664304 4.914E+00 8.950E-01 1.290E+02 7.104E-01 5.135E-01 1.428E+00 6.157E+00 2.725E+00 1.593E+09 9.200E-02 9.690E-02 2.489E-05 3.643E-02 1.755E+01 7.885E-02 7.247E-02 1.887E-02 5.732E-02 1.030E-01 7.322E-04 1.096E-01 1.245E-01 9.126E-03
364.54841040852625 8.008E+00 8.176E-01 1.662E+02 -5.165E-01 2.505E+00 1.672E+00 3.454E+00 4.661E+00 1.597E+09 1.550E-01 4.780E-02 4.808E-05 1.514E-02 3.395E+01 2.688E-01 2.540E-01 6.016E-02 8.470E-02 1.068E-01 5.188E-03 4.112E-02 5.245E-02 9.049E-02
3652.5612853650296 1.618E+01 8.846E-01 1.092E+02 9.444E-01 4.331E+00 8.688E-01 5.373E+00 2.909E+00 1.601E+09 2.251E-01 9.900E-02 2.617E-05 1.779E-03 5.411E+00 2.430E-01 2.270E-01 5.906E-03 1.637E-01 2.299E-02 1.152E-03 8.192E-03 9.615E-03 9.975E-02
1127.1596113917303 1.697E+01 6.621E-01 1.249E+02 5.711E-01 8.398E-01 1.366E+00 4.943E+00 1.833E+00 1.588E+09 1.605E-01 1.338E-01 9.117E-05 3.013E-03 2.293E+01 1.216E-01 1.380E-01 2.158E-02 9.521E-02 4.889E-02 2.016E-03 5.969E-03 9.372E-03 4.422E-02
4188.46114749787 1.464E+01 9.875E-01 5.366E+01 -6.943E-01 2.466E+00 2.888E+00 1.569E+00 1.064E+00 1.601E+09 5.530E-02 2.164E-01 1.234E-05 5.031E-03 1.874E-01 8.546E-04 1.479E-03 1.291E-02 2.630E+00 5.264E+00 8.527E-06 1.814E-02 1.831E-02 7.581E-07
738.3518298413356 7.898E+00 9.849E-01 2.590E+02 -1.224E+00 4.795E+00 2.203E+00 5.778E+00 5.533E+00 1.607E+09 8.340E-02 1.343E-01 1.442E-05 1.135E-02 5.637E+01 3.276E-01 6.754E-01 4.274E-02 6.146E-01 7.596E-02 3.448E-03 3.510E-02 3.570E-02 2.361E-01
516.2218556911706 6.004E+00 7.517E-01 2.033E+02 9.154E-01 7.827E-01 1.932E+00 5.051E+00 6.037E+00 1.596E+09 2.070E-01 7.760E-02 2.439E-05 1.104E-02 3.275E+01 2.128E-01 4.121E-01 1.868E-02 3.739E-01 5.252E-02 3.285E-03 3.007E-02 4.196E-02 1.670E-01
19768.746031712228 1.919E+01 9.310E-01 1.912E+01 7.611E-02 3.470E+00 2.235E+00 4.226E+00 6.083E-01 1.606E+09 1.232E-01 1.530E-01 4.740E-06 3.114E-04 1.415E-01 1.170E-02 9.998E-03 1.017E-03 1.516E-03 1.064E-02 1.355E-04 8.518E-04 9.299E-04 1.733E-04
1249.4905482935153 2.068E+01 9.587E-01 8.267E+01 1.914E-01 8.336E-01 1.894E+00 1.460E+00 3.011E+00 1.594E+09 2.067E-01 6.880E-02 8.878E-05 4.128E-03 6.956E+00 7.115E-03 1.078E-02 2.451E-02 3.082E-02 7.292E-02 2.277E-04 1.093E-02 1.165E-02 2.178E-04
334.78323027969185 1.350E+01 9.503E-01 2.918E+02 7.462E-01 3.265E-01 1.817E+00 3.060E+00 5.937E+00 1.607E+09 1.394E-01 1.757E-01 1.070E-04 1.707E-02 5.008E+01 4.816E-02 7.149E-02 1.175E-01 2.290E-01 2.633E-01 1.023E-03 3.312E-02 3.508E-02 7.938E-03
460.0523636797666 1.547E+01 8.767E-01 1.285E+02 5.037E-01 1.845E+00 1.606E+00 1.855E+00 3.726E+00 1.598E+09 1.680E-01 1.508E-01 1.234E-04 1.060E-02 3.673E+01 1.327E-01 3.966E-02 4.738E-02 1.068E-01 1.440E-01 1.596E-03 2.354E-02 2.760E-02 8.288E-03
1212.3399370009186 1.861E+01 8.892E-01 4.119E+02 -1.918E-01 5.359E+00 3.714E-01 1.694E+00 1.487E+00 1.601E+09 1.205E-01 8.490E-02 1.125E-04 1.199E-02 5.321E+00 6.076E-02 8.112E-02 2.527E-02 2.352E+00 4.808E+00 1.326E-04 3.773E-02 4.362E-02 2.392E-03
745.3378725411123 2.269E+01 8.098E-01 2.812E+02 -2.587E-01 3.233E+00 2.178E+00 6.034E+00 2.453E+00 1.591E+09 1.187E-01 1.862E-01 2.275E-04 6.731E-03 1.250E+01 1.938E-02 6.696E-03 2.476E-02 7.807E-02 1.843E-01 2.620E-04 1.680E-02 2.143E-02 3.871E-04
1944.2118882471927 1.568E+01 9.689E-01 1.625E+02 -4.585E-02 4.056E+00 3.788E-01 1.214E+00 5.998E+00 1.596E+09 1.205E-01 1.683E-01 2.981E-05 7.272E-03 3.226E+00 5.845E-03 1.597E-02 1.871E-02 1.742E+00 3.494E+00 2.694E-04 2.190E-02 2.279E-02 5.814E-05
